Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
3038429;Ailly-sur-Noye;Ailly-sur-Noye;Ai-sjur-Nua,Ailly,Ailly-su-Noee,Ailly-su-Noée,Ailly-sur-Noye,Aji sir Noa,Aji-sjur-Nua,Ayi syur Nua,ayly-sw-nwy,nu wa he pan a yi,Айи-сюр-Нуа,Аї-сюр-Нуа,Аји сир Ноа,Այի սյուր Նուա,ایلی-سو-نوی,努瓦河畔阿伊;P;PPL;FR;France;;32;80;803;80010;2691;;64;Europe/Paris;2016-02-18;France;49.75707, 2.36367
6543970;Lyon 04;Lyon 04;;P;PPLX;FR;France;;84;69;691;69123;36064;;259;Europe/Paris;2022-08-04;France;45.77507, 4.82712
3014662;Griesheim-sur-Souffel;Griesheim-sur-Souffel;Griesheim;P;PPL;FR;France;;44;67;674;67173;1142;;162;Europe/Paris;2019-03-26;France;48.63591, 7.66923
3016824;Gaillac;Gaillac;Gaillac,Gajak,Galhac,gai la ke,gayakku,Гайак,Гаяк,ガヤック,盖拉克;P;PPL;FR;France;;76;81;811;81099;12600;;148;Europe/Paris;2016-02-18;France;43.9016, 1.89686
3024111;Combronde;Combronde;Combronde;P;PPL;FR;France;;84;63;634;63116;1972;;401;Europe/Paris;2019-04-10;France;45.98099, 3.08807
2812509;Weilheim an der Teck;Weilheim an der Teck;Vajl'gajm-an-der-Tek,Vajl'khajm-an-der-Tek,Vajl'khajm-an-der-Tekk,Vajlkhajm an der Tek,Vaylhaym an der Tek,Weilheim,faylhaym an dr tk,tai ke shan lu wei er hai mu,waylhaym an dr tk,Вайльгайм-ан-дер-Тек,Вайльхайм-ан-дер-Тек,Вайльхайм-ан-дер-Текк,Вајлхајм ан дер Тек,Վայլհայմ ան դեր Տեկ,فايلهايم آن در تك,وایلهایم آن در تک,泰克山麓魏尔海姆;P;PPL;DE;Germany;;01;081;08116;08116070;9634;;383;Europe/Berlin;2013-02-19;Germany;48.61572, 9.53751
2749528;Oosteind;Oosteind;;P;PPL;NL;Netherlands;;06;0826;;;1005;;4;Europe/Amsterdam;2017-10-17;Netherlands;51.64418, 4.89784
2882366;Küps;Kups;Kueps,Kueps Oberfranken,Kups,Küps;P;PPL;DE;Germany;;02;094;09476;09476146;8282;;290;Europe/Berlin;2020-07-09;Germany;50.19265, 11.27599
2805861;Wülknitz;Wulknitz;Vilknic,Vjul'knic,Wuelknitzi vald,Wülknitzi vald,wei er ke ni ci,Вилкниц,Вюлькниц,Вюлькніц,维尔克尼茨;P;PPLA4;DE;Germany;;13;00;14627;14627340;1877;;97;Europe/Berlin;2014-01-02;Germany;51.36667, 13.4
2835467;Schwabstedt;Schwabstedt;Schwabstedt,Shvabshtedt,Shvabshtet,Svavsted,Swabstaeae,Swåbstää,shi wa bu si te,Швабштедт,Швабштет,施瓦布斯特;P;PPLA4;DE;Germany;;10;00;01054;01054116;1367;;9;Europe/Berlin;2012-01-05;Germany;54.39705, 9.18646
2980001;Saint-Geniès-des-Mourgues;Saint-Genies-des-Mourgues;Saint-Genies,Saint-Genies-des-Mourgues,Saint-Geniès,Saint-Geniès-des-Mourgues,Sant Ginieis de las Morgas,Sant Ginièis de las Morgas,Sen-Zhen'es-de-Murg,sheng re nie dai mu er gai,Сен-Женьес-де-Мург,Сен-Женьєс-де-Мург,سینٹ-گنیس-دس-مورگیس,圣热涅代穆尔盖;P;PPL;FR;France;;76;34;343;34256;1699;;67;Europe/Paris;2016-02-18;France;43.6978, 4.0361
2980219;Saint-Étienne-lès-Remiremont;Saint-Etienne-les-Remiremont;Saint-Etienne,Saint-Etienne-les-Remiremont,Saint-Étienne,Saint-Étienne-lès-Remiremont,Sent-Et'enn-le-Remirmon,Valmoselle,sheng ai di ye na lai lei mi lei meng,Сент-Етьенн-ле-Ремирмон,Сент-Етьєнн-ле-Ремірмон,سینٹ-ایٹیینے-لیس-ریمرمونٹ,圣埃蒂耶纳莱雷米雷蒙;P;PPL;FR;France;;44;88;881;88415;4156;;397;Europe/Paris;2016-02-21;France;48.02287, 6.60868
2873285;Markt Schwaben;Markt Schwaben;Markt Schwaben,Markt Shvaben,Markt-Shvaben,ma ke te shi wa ben,markt shwabn,Маркт Швабен,Маркт-Швабен,مارکت شوابن,马克特施瓦本;P;PPL;DE;Germany;;02;091;09175;09175127;10857;;512;Europe/Berlin;2021-02-10;Germany;48.18949, 11.8691
2915236;Groß Nemerow;Gross Nemerow;Gross Nemerow,Groß Nemerow;P;PPL;DE;Germany;;12;00;13071;13071055;1355;;62;Europe/Berlin;2015-09-05;Germany;53.47342, 13.22482
